site,date,non.salad,salad,salad.ratio,Total.meals,Product.source,Florida,FTS,Other.Source,FTS.Florida,FTS.Start,White,Black,Hispanic,Asian,Other,Asian.Other,Total,Offerd.BC,Offered.Salad,Offered.Mexican,Offered.Pizza,Offered.Sandwich,Offered.HB,Offered.Italian,Offered.Other,Mandarin,Chef ,Taco,Chicken.Chop,Fajita,Chicken.Tender,Salad.LO ,Chicken.Smacker,Total Students,Free Lunch,Reduced Lunch,Free,Reduced,Paid
Finley,8/24/2015,289,5,0.017,294,1,0,0,1,0,0,36.6,26.4,19.9,11.9,4.9,16.8,99.7,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,650,246,3,0.378461538,0.004615385,0.616923077
Foster,8/24/2015,343,16,0.0446,359,1,0,0,1,0,0,32.1,42.7,9.1,6.9,9,15.9,99.8,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,529,280,12,0.529300567,0.02268431,0.448015123
Glen,8/24/2015,134,3,0.0219,137,1,0,0,1,0,0,55.7,25,8.7,2,7.9,9.9,99.3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,499,244,21,0.488977956,0.042084168,0.468937876
Idylwild ,8/24/2015,644,56,0.08,700,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,803,575,12,0.716064757,0.01494396,0.268991283
Lake.Forest ,8/24/2015,380,10,0.0256,390,1,0,0,1,0,0,14.7,76.7,2.7,0,4.9,4.9,99,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,352,312,1,0.886363636,0.002840909,0.110795455
Littlewood ,8/24/2015,458,34,0.0691,492,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,720,333,13,0.4625,0.018055556,0.519444444
Meadowbrook,8/24/2015,203,18,0.0814,221,1,0,0,1,0,0,54.7,20.2,10.4,5.8,8.6,14.4,99.7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,810,256,35,0.316049383,0.043209877,0.640740741
Metcalfe,8/24/2015,258,20,0.0719,278,1,0,0,1,0,0,7.3,88.3,0,0,0,0,95.6,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,316,262,2,0.829113924,0.006329114,0.164556962
Newberry,8/24/2015,365,13,0.0344,378,1,0,0,1,0,0,61.5,16.7,12,0,8.2,8.2,98.4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,609,261,11,0.428571429,0.018062397,0.553366174
Norton,8/24/2015,392,9,0.0224,401,1,0,0,1,0,0,48.4,27.2,8.6,5.3,10.1,15.4,99.6,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,673,0,0,0,0,1
Rawlings,8/24/2015,306,24,0.0727,330,1,0,0,1,0,0,0,91.3,3.8,0,4.1,4.1,99.2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,264,229,0,0.867424242,0,0.132575758
Terwilliger,8/24/2015,600,30,0.0476,630,1,0,0,1,0,0,21.8,53.9,12.5,0,10.8,10.8,99,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,680,496,11,0.729411765,0.016176471,0.254411765
Williams,8/24/2015,389,33,0.0782,422,1,0,0,1,0,0,11,73.1,2.8,9.2,3.7,12.9,99.8,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,628,435,3,0.692675159,0.00477707,0.302547771
Finley,8/25/2015,274,14,0.0486,288,1,0,0,1,0,0,36.6,26.4,19.9,11.9,4.9,16.8,99.7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,650,246,3,0.378461538,0.004615385,0.616923077
Foster,8/25/2015,340,28,0.0761,368,1,0,0,1,0,0,32.1,42.7,9.1,6.9,9,15.9,99.8,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,529,280,12,0.529300567,0.02268431,0.448015123
Glen,8/25/2015,112,8,0.0667,120,1,0,0,1,0,0,55.7,25,8.7,2,7.9,9.9,99.3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,499,244,21,0.488977956,0.042084168,0.468937876
Idylwild ,8/25/2015,568,75,0.1166,643,1,0,0,1,0,0,22.4,54,12.4,4.7,5.4,10.1,98.9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,803,575,12,0.716064757,0.01494396,0.268991283
Lake.Forest ,8/25/2015,322,15,0.0445,337,1,0,0,1,0,0,14.7,76.7,2.7,0,4.9,4.9,99,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,352,312,1,0.886363636,0.002840909,0.110795455
Littlewood ,8/25/2015,451,37,0.0758,488,1,0,0,1,0,0,41.1,32.5,13.6,4.4,8.3,12.7,99.9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,720,333,13,0.4625,0.018055556,0.519444444
Meadowbrook,8/25/2015,218,3,0.0136,221,1,0,0,1,0,0,54.7,20.2,10.4,5.8,8.6,14.4,99.7,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,810,256,35,0.316049383,0.043209877,0.640740741
Metcalfe,8/25/2015,260,20,0.0714,280,1,0,0,1,0,0,7.3,88.3,0,0,0,0,95.6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,316,262,2,0.829113924,0.006329114,0.164556962
Newberry,8/25/2015,353,23,0.0612,376,1,0,0,1,0,0,61.5,16.7,12,0,8.2,8.2,98.4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,609,261,11,0.428571429,0.018062397,0.553366174
Norton,8/25/2015,384,25,0.0611,409,1,0,0,1,0,0,48.4,27.2,8.6,5.3,10.1,15.4,99.6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,673,0,0,0,0,1
