School,# of Student,# of Free Lunch Students,# of Reduced Price Lunch Students,% of free,% of Reduced,% of paid students,,,Total Students,Free Lunch,Reduced Lunch,Free,Reduced,Paid
Alachua ,395,227,2,0.574683544,0.005063291,0.420253165,,,650,246,3,0.378461538,0.004615385,0.616923077
Archer,506,244,8,0.482213439,0.015810277,0.501976285,,,529,280,12,0.529300567,0.02268431,0.448015123
Chiles,716,260,17,0.363128492,0.023743017,0.613128492,,,499,244,21,0.488977956,0.042084168,0.468937876
Finley,650,246,3,0.378461538,0.004615385,0.616923077,,,803,575,12,0.716064757,0.01494396,0.268991283
Foster,529,280,12,0.529300567,0.02268431,0.448015123,,,352,312,1,0.886363636,0.002840909,0.110795455
Glen,499,244,21,0.488977956,0.042084168,0.468937876,,,720,333,13,0.4625,0.018055556,0.519444444
Hidden,792,230,34,0.29040404,0.042929293,0.666666667,,,810,256,35,0.316049383,0.043209877,0.640740741
High.Springs,887,383,34,0.431792559,0.038331454,0.529875986,,,316,262,2,0.829113924,0.006329114,0.164556962
Irby,432,244,12,0.564814815,0.027777778,0.407407407,,,609,261,11,0.428571429,0.018062397,0.553366174
Idylwild ,803,575,12,0.716064757,0.01494396,0.268991283,,,673,0,0,0,0,1
Lake.Forest ,352,312,1,0.886363636,0.002840909,0.110795455,,,264,229,0,0.867424242,0,0.132575758
Littlewood ,720,333,13,0.4625,0.018055556,0.519444444,,,680,496,11,0.729411765,0.016176471,0.254411765
Meadowbrook,810,256,35,0.316049383,0.043209877,0.640740741,,,628,435,3,0.692675159,0.00477707,0.302547771
Metcalfe,316,262,2,0.829113924,0.006329114,0.164556962,,,650,246,3,0.378461538,0.004615385,0.616923077
Newberry,609,261,11,0.428571429,0.018062397,0.553366174,,,529,280,12,0.529300567,0.02268431,0.448015123
Norton,673,0,0,0,0,1,,,499,244,21,0.488977956,0.042084168,0.468937876
Rawlings,264,229,0,0.867424242,0,0.132575758,,,803,575,12,0.716064757,0.01494396,0.268991283
Shell,353,0,0,0,0,1,,,352,312,1,0.886363636,0.002840909,0.110795455
Talbot,687,204,11,0.296943231,0.016011645,0.687045124,,,720,333,13,0.4625,0.018055556,0.519444444
Terwilliger,680,496,11,0.729411765,0.016176471,0.254411765,,,810,256,35,0.316049383,0.043209877,0.640740741
Wiles,826,288,5,0.348668281,0.006053269,0.64527845,,,316,262,2,0.829113924,0.006329114,0.164556962
Williams,628,435,3,0.692675159,0.00477707,0.302547771,,,609,261,11,0.428571429,0.018062397,0.553366174
,,,,,,,,,673,0,0,0,0,1
,,,,,,,,,264,229,0,0.867424242,0,0.132575758
,,,,,,,,,680,496,11,0.729411765,0.016176471,0.254411765
,,,,,,,,,628,435,3,0.692675159,0.00477707,0.302547771
,,,,,,,,,650,246,3,0.378461538,0.004615385,0.616923077
,,,,,,,,,529,280,12,0.529300567,0.02268431,0.448015123
,,,,,,,,,499,244,21,0.488977956,0.042084168,0.468937876
,,,,,,,,,803,575,12,0.716064757,0.01494396,0.268991283
,,,,,,,,,352,312,1,0.886363636,0.002840909,0.110795455
,,,,,,,,,720,333,13,0.4625,0.018055556,0.519444444
,,,,,,,,,810,256,35,0.316049383,0.043209877,0.640740741
,,,,,,,,,316,262,2,0.829113924,0.006329114,0.164556962
,,,,,,,,,609,261,11,0.428571429,0.018062397,0.553366174
,,,,,,,,,673,0,0,0,0,1
,,,,,,,,,264,229,0,0.867424242,0,0.132575758
,,,,,,,,,680,496,11,0.729411765,0.016176471,0.254411765
,,,,,,,,,628,435,3,0.692675159,0.00477707,0.302547771
,,,,,,,,,499,244,21,0.488977956,0.042084168,0.468937876
,,,,,,,,,803,575,12,0.716064757,0.01494396,0.268991283
,,,,,,,,,720,333,13,0.4625,0.018055556,0.519444444
